ENERGY,AREA,COUNTS,PKTR,WIDTH,ABS_EFF
50,36703,37499,0.978773,8.7898,0.0389628
60,42268,44097,0.958523,9.11826,0.0448705
70,45171,48360,0.934057,9.14431,0.0479522
80,46608,50739,0.918583,9.20659,0.0494777
90,47238,52155,0.905723,9.36697,0.0501465
100,48138,53509,0.899624,9.52423,0.0511019
110,48223,54028,0.892556,9.72203,0.0511921
120,48738,54781,0.889688,9.90767,0.0517389
130,48651,55029,0.884097,10.087,0.0516465
140,48333,55147,0.876439,10.2237,0.0513089
150,48227,55267,0.872618,10.3385,0.0511964
160,47999,55247,0.868807,10.5475,0.0509544
170,47400,55048,0.861067,10.7805,0.0503185
180,47033,55021,0.854819,10.9254,0.0499289
190,46468,54871,0.846859,11.0271,0.0493291
200,45996,54723,0.840524,11.1876,0.048828
210,45743,54762,0.835306,11.3828,0.0485594
220,45102,54515,0.827332,11.548,0.047879
230,44566,54322,0.820404,11.7605,0.04731
240,44019,54125,0.813284,11.8323,0.0467293
250,43342,53994,0.802719,11.991,0.0460106
260,42617,53562,0.795657,12.1327,0.045241
270,41766,53188,0.785252,12.352,0.0443376
280,41085,52999,0.775203,12.477,0.0436146
290,40444,52992,0.76321,12.6739,0.0429342
300,39476,52332,0.754338,12.8338,0.0419066
310,38926,52178,0.746023,12.9992,0.0413227
320,38360,52167,0.735331,13.1746,0.0407219
330,37630,51888,0.725216,13.2314,0.0399469
340,36737,51444,0.714116,13.5112,0.0389989
350,36402,51564,0.705958,13.6677,0.0386433
360,35837,51508,0.695756,13.8615,0.0380435
370,35212,51382,0.685298,13.9284,0.03738
380,34462,51241,0.672547,14.1933,0.0365839
390,33604,50768,0.661913,14.3745,0.035673
400,33096,50523,0.655068,14.4955,0.0351338
410,32633,50512,0.646045,14.6243,0.0346423
420,31980,50232,0.636646,14.8101,0.033949
430,31363,50120,0.625758,14.9455,0.0332941
440,31006,50079,0.619142,15.0774,0.0329151
450,30548,50098,0.609765,15.2945,0.0324289
460,29920,49861,0.600068,15.3761,0.0317622
470,29121,49220,0.59165,15.5389,0.030914
480,28881,49305,0.585762,15.6617,0.0306592
490,28361,49103,0.577582,15.8255,0.0301072
500,27922,48828,0.571844,15.9966,0.0296412
510,27612,48780,0.566052,16.2418,0.0293121
520,27153,48564,0.559118,16.3512,0.0288248
530,26814,48702,0.550573,16.5115,0.028465
540,26485,48525,0.545801,16.5913,0.0281157
550,26113,48265,0.541034,16.87,0.0277208
560,25633,48219,0.531595,17.0149,0.0272113
570,25494,48098,0.530043,17.1028,0.0270637
580,25064,47987,0.522308,17.1139,0.0266072
590,24726,47801,0.51727,17.2376,0.0262484
600,24229,47511,0.509966,17.4034,0.0257208
610,24032,47536,0.505554,17.7009,0.0255117
620,23946,47538,0.503723,17.9352,0.0254204
630,23455,47209,0.496833,18.1073,0.0248992
640,23346,47500,0.491495,18.1792,0.0247834
650,22901,47307,0.484093,18.4172,0.024311
660,22595,47134,0.479378,18.4832,0.0239862
670,22437,46975,0.477637,18.6966,0.0238185
680,22135,46826,0.472707,18.8904,0.0234979
690,21765,46643,0.46663,19.0218,0.0231051
700,21406,46454,0.4608,19.0571,0.022724
710,21323,46438,0.459171,19.1565,0.0226359
720,21154,46346,0.456436,19.4733,0.0224565
730,21093,46360,0.454983,19.488,0.0223917
740,20638,46267,0.446063,19.6317,0.0219087
750,20668,46398,0.44545,19.8581,0.0219406
760,20386,46103,0.442184,20.0007,0.0216412
770,20342,46399,0.438415,20.0976,0.0215945
780,19823,45815,0.432675,20.2121,0.0210435
790,19981,46088,0.43354,20.4286,0.0212113
800,19463,45714,0.425756,20.4723,0.0206614
810,19438,45801,0.424401,20.6301,0.0206348
820,19119,45526,0.419958,20.889,0.0202962
830,18830,45437,0.41442,21.0336,0.0199894
840,18643,45359,0.41101,21.1483,0.0197909
850,18534,45160,0.410407,21.2988,0.0196752
860,18385,45032,0.408265,21.4056,0.019517
870,18158,44852,0.404843,21.5765,0.019276
880,17967,44834,0.400745,21.7412,0.0190732
890,17972,44790,0.40125,21.8604,0.0190786
900,17803,45024,0.395411,21.9519,0.0188992
910,17463,44571,0.391802,22.1324,0.0185382
920,17615,44633,0.394663,22.347,0.0186996
930,17350,44593,0.389075,22.2976,0.0184183
940,17418,44867,0.388214,22.5581,0.0184904
950,16979,44447,0.382006,22.7281,0.0180244
960,16941,44587,0.379954,22.6962,0.0179841
970,16738,44109,0.379469,23.067,0.0177686
980,16502,43673,0.377854,23.1777,0.017518
990,16514,43863,0.37649,23.3804,0.0175308
1000,16305,43719,0.37295,23.5384,0.0173089
1010,16108,43297,0.372035,23.5264,0.0170998
1020,16149,43539,0.370909,23.5072,0.0171433
