ENERGY,EFF
50,9.78E-05
60,9.74E-05
70,9.66E-05
80,9.65E-05
90,9.63E-05
100,9.57E-05
110,9.52E-05
120,9.44E-05
130,9.37E-05
140,9.27E-05
150,9.16E-05
160,9.05E-05
170,8.98E-05
180,8.86E-05
190,8.74E-05
200,8.64E-05
210,8.55E-05
220,8.45E-05
230,8.30E-05
240,8.15E-05
250,8.04E-05
260,7.92E-05
270,7.69E-05
280,7.60E-05
290,7.39E-05
300,7.28E-05
310,7.18E-05
320,6.99E-05
330,6.86E-05
340,6.75E-05
350,6.58E-05
360,6.46E-05
370,6.33E-05
380,6.21E-05
390,6.07E-05
400,5.96E-05
410,5.86E-05
420,5.73E-05
430,5.63E-05
440,5.51E-05
450,5.44E-05
460,5.33E-05
470,5.26E-05
480,5.16E-05
490,5.04E-05
500,5.02E-05
510,4.95E-05
520,4.82E-05
530,4.74E-05
540,4.66E-05
550,4.61E-05
560,4.52E-05
570,4.46E-05
580,4.40E-05
590,4.32E-05
600,4.28E-05
610,4.24E-05
620,4.16E-05
630,4.10E-05
640,4.06E-05
650,4.03E-05
660,4.03E-05
670,3.90E-05
680,3.86E-05
690,3.80E-05
700,3.75E-05
710,3.71E-05
720,3.66E-05
730,3.61E-05
740,3.58E-05
750,3.54E-05
760,3.49E-05
770,3.46E-05
780,3.43E-05
790,3.39E-05
800,3.37E-05
810,3.33E-05
820,3.29E-05
830,3.25E-05
840,3.24E-05
850,3.19E-05
860,3.17E-05
870,3.13E-05
880,3.09E-05
890,3.07E-05
900,3.04E-05
910,3.02E-05
920,3.01E-05
930,2.96E-05
940,2.93E-05
950,2.92E-05
960,2.88E-05
970,2.86E-05
980,2.84E-05
990,2.82E-05
1000,2.80E-05
1010,2.80E-05
1020,2.76E-05
1030,2.74E-05
1040,2.72E-05
1050,2.70E-05
1060,2.68E-05
1070,2.64E-05
1080,2.63E-05
1090,2.60E-05
1100,2.58E-05
1110,2.57E-05
1120,2.54E-05
1130,2.52E-05
1140,2.50E-05
1150,2.49E-05
1160,2.47E-05
1170,2.45E-05
1180,2.43E-05
1190,2.42E-05
1200,2.40E-05
1210,2.39E-05
1220,2.38E-05
1230,2.36E-05
1240,2.35E-05
1250,2.33E-05
1260,2.31E-05
1270,2.30E-05
1280,2.30E-05
1290,2.27E-05
1300,2.26E-05
1310,2.26E-05
1320,2.24E-05
1330,2.22E-05
1340,2.21E-05
1350,2.19E-05
1360,2.19E-05
1370,2.17E-05
1380,2.16E-05
1390,2.14E-05
1400,2.13E-05
1410,2.12E-05
1420,2.11E-05
1430,2.09E-05
1440,2.07E-05
1450,2.06E-05
1460,2.06E-05
1470,2.04E-05
1480,2.04E-05
1490,2.02E-05
1500,2.01E-05
1510,1.99E-05
1520,1.97E-05
1530,1.97E-05
1540,1.96E-05
1550,1.95E-05
1560,1.93E-05
1570,1.92E-05
1580,1.91E-05
1590,1.90E-05
1600,1.89E-05
1610,1.88E-05
1620,1.86E-05
1630,1.86E-05
1640,1.86E-05
1650,1.83E-05
1660,1.83E-05
1670,1.82E-05
1680,1.81E-05
1690,1.80E-05
1700,1.80E-05
1710,1.77E-05
1720,1.77E-05
1730,1.76E-05
1740,1.75E-05
1750,1.74E-05
1760,1.73E-05
1770,1.72E-05
1780,1.71E-05
1790,1.71E-05
1800,1.69E-05
1810,1.68E-05
1820,1.68E-05
1830,1.66E-05
1840,1.66E-05
1850,1.65E-05
1860,1.65E-05
1870,1.64E-05
1880,1.63E-05
1890,1.61E-05
1900,1.61E-05
1910,1.60E-05
1920,1.59E-05
1930,1.59E-05
1940,1.58E-05
1950,1.58E-05
1960,1.57E-05
1970,1.57E-05
1980,1.55E-05
1990,1.55E-05
2000,1.54E-05
