ENERGY,PKTR
50,0.9917
60,0.9892
70,0.9862
80,0.9842
90,0.9802
100,0.9759
110,0.9728
120,0.9707
130,0.967
140,0.9627
150,0.9579
160,0.9548
170,0.9491
180,0.9435
190,0.9368
200,0.9302
210,0.9217
220,0.9151
230,0.9073
240,0.8953
250,0.8879
260,0.8782
270,0.8653
280,0.8561
290,0.8423
300,0.8296
310,0.8216
320,0.8092
330,0.7996
340,0.7872
350,0.7747
360,0.7617
370,0.7513
380,0.7401
390,0.7299
400,0.7192
410,0.7091
420,0.6988
430,0.689
440,0.6786
450,0.6713
460,0.6588
470,0.654
480,0.643
490,0.6324
500,0.6278
510,0.6213
520,0.6114
530,0.6028
540,0.596
550,0.5904
560,0.5811
570,0.5737
580,0.5685
590,0.5635
600,0.5557
610,0.5518
620,0.5451
630,0.5399
640,0.5366
650,0.5311
660,0.5225
670,0.518
680,0.5141
690,0.5072
700,0.505
710,0.5012
720,0.495
730,0.4905
740,0.4867
750,0.4848
760,0.4793
770,0.4753
780,0.472
790,0.468
800,0.4662
810,0.461
820,0.4595
830,0.4538
840,0.4514
850,0.4481
860,0.4441
870,4.41E-01
880,0.4361
890,0.4342
900,0.432
910,0.4297
920,0.4264
930,0.4228
940,0.4219
950,0.4191
960,0.4153
970,0.4123
980,0.4104
990,0.4092
1000,0.4057
1010,0.4061
1020,0.4016
1030,0.4016
1040,0.3993
1050,0.3978
1060,0.3952
1070,0.393
1080,0.3907
1090,0.3879
1100,0.3863
1110,0.3847
1120,0.3815
1130,0.3787
1140,0.3776
1150,0.3758
1160,0.3734
1170,0.3716
1180,0.3693
1190,0.368
1200,0.3664
1210,0.3655
1220,0.3639
1230,0.3613
1240,0.36
1250,0.3579
1260,0.3565
1270,0.3549
1280,0.3554
1290,0.3512
1300,0.3512
1310,0.3509
1320,0.3483
1330,0.3477
1340,0.3453
1350,0.3435
1360,0.3427
1370,0.3409
1380,0.3397
1390,0.3375
1400,0.3364
1410,0.3353
1420,0.33342
1430,0.3311
1440,0.329
1450,0.3291
1460,0.3282
1470,0.3262
1480,0.3246
1490,0.3242
1500,0.322
1510,0.3206
1520,0.3179
1530,0.3172
1540,0.3161
1550,0.3153
1560,0.3129
1570,0.3112
1580,0.3097
1590,0.3088
1600,0.3081
1610,0.3075
1620,0.3054
1630,0.3048
1640,0.3043
1650,0.3015
1660,0.3015
1670,0.3004
1680,0.2985
1690,0.2981
1700,0.297
1710,0.2941
1720,0.2935
1730,0.2918
1740,0.2907
1750,0.2896
1760,0.2885
1770,0.287
1780,0.2851
1790,0.2849
1800,0.2833
1810,0.282
1820,0.2816
1830,0.2797
1840,0.2802
1850,0.2782
1860,0.279
1870,0.2768
1880,0.276
1890,0.2739
1900,0.2737
1910,0.2729
1920,0.2712
1930,0.2704
1940,0.2697
1950,0.2691
1960,0.2681
1970,0.2673
1980,0.2658
1990,0.2646
2000,0.2635
